"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
-7.561653500E-2,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
2.936748400E-2,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
8.685589700E-2,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
1.206000460E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
1.424720050E-1,-1.771509647E-3,-1.119922847E-3,4.886901006E-4
1.584129080E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
1.713820130E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
1.828657390E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
1.936068130E-1,-1.771509647E-3,-1.730788499E-3,-1.221755520E-4
2.039774660E-1,-1.160643995E-3,-5.090571940E-4,-1.221755520E-4
2.141655610E-1,-1.771509647E-3,-1.119922847E-3,-1.221755520E-4
2.242564740E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
2.343086420E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
2.443324190E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
2.543409610E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
2.643478280E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
2.743513580E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
2.843509300E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
2.943299660E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
3.043416960E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
3.143426380E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
3.243427630E-1,-1.160643995E-3,-1.119922847E-3,-7.330412045E-4
3.343455170E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
3.443293750E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
3.543388040E-1,6.108731031E-5,-1.119922847E-3,-1.221755520E-4
3.643462300E-1,6.108731031E-5,-5.090571940E-4,-1.221755520E-4
3.743484620E-1,-1.160643995E-3,-5.090571940E-4,-7.330412045E-4
3.843768090E-1,-1.160643995E-3,-1.119922847E-3,4.886901006E-4
3.943429830E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
4.043463200E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
4.143745270E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
4.243727840E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
4.343588930E-1,-1.160643995E-3,-5.090571940E-4,-7.330412045E-4
4.443400630E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
4.543455900E-1,-1.160643995E-3,-2.341654152E-3,-7.330412045E-4
4.643476040E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
4.743417070E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
4.843243930E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
4.943146210E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
5.043427160E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
5.143580320E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
5.243762290E-1,-5.497783422E-4,-1.730788499E-3,-7.330412045E-4
5.343475580E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
5.443384920E-1,6.108731031E-5,-1.730788499E-3,-7.330412045E-4
5.543305930E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
5.643264710E-1,-5.497783422E-4,-1.730788499E-3,-7.330412045E-4
5.770051210E-1,-1.771509647E-3,-1.119922847E-3,-1.221755520E-4
5.943524640E-1,-1.160643995E-3,-5.090571940E-4,-1.221755520E-4
6.043322340E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
6.143613110E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
6.243058490E-1,6.108731031E-5,-1.730788499E-3,-7.330412045E-4
6.343529640E-1,-5.497783422E-4,-5.090571940E-4,-1.221755520E-4
6.443354260E-1,6.108731031E-5,1.018084586E-4,-1.221755520E-4
6.543543490E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
6.643018110E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
6.743008110E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
6.843168110E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
6.943028110E-1,-5.497783422E-4,-1.730788499E-3,-7.330412045E-4
7.043136570E-1,6.108731031E-5,-1.730788499E-3,-1.343905926E-3
7.143009260E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
7.243176180E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
7.343225410E-1,-1.160643995E-3,-5.090571940E-4,-1.221755520E-4
7.443295800E-1,-1.771509647E-3,-1.730788499E-3,-1.221755520E-4
7.543266180E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
7.643104640E-1,6.108731031E-5,-5.090571940E-4,-7.330412045E-4
7.743585800E-1,-1.160643995E-3,-1.119922847E-3,-7.330412045E-4
7.843921950E-1,6.108731031E-5,-1.119922847E-3,-1.221755520E-4
7.943171950E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
8.043232720E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
8.144161570E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
8.243088870E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
8.343315030E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
8.443583490E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
8.543588100E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
8.643588490E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
8.743768100E-1,6.108731031E-5,-1.730788499E-3,-7.330412045E-4
8.843765410E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
8.943585030E-1,-5.497783422E-4,-1.730788499E-3,-7.330412045E-4
9.043833100E-1,6.108731031E-5,-5.090571940E-4,-1.221755520E-4
9.143150800E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
9.243183100E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
9.343321180E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
9.443196180E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
9.544099640E-1,-5.497783422E-4,-5.090571940E-4,-7.330412045E-4
9.643648870E-1,-1.160643995E-3,-1.119922847E-3,-7.330412045E-4
9.743726950E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
9.843409640E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
9.943656180E-1,-1.160643995E-3,-2.341654152E-3,-1.221755520E-4
1.004335772E0,-5.497783422E-4,-1.730788499E-3,-7.330412045E-4
1.014320233E0,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
1.024377041E0,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
1.034340656E0,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
1.044368349E0,6.108731031E-5,-1.730788499E-3,-1.343905926E-3
1.054372349E0,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
1.064370464E0,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
1.074318272E0,-5.497783422E-4,-1.730788499E-3,4.886901006E-4
1.084373926E0,-1.160643995E-3,-1.119922847E-3,-7.330412045E-4
1.094398041E0,-1.160643995E-3,-1.119922847E-3,-7.330412045E-4
1.104394695E0,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
1.114382233E0,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
1.124368464E0,6.108731031E-5,-1.119922847E-3,-1.343905926E-3
1.134348810E0,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
1.144372733E0,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
1.154400233E0,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
1.164382156E0,-6.902609020E-4,-7.330067456E-4,-4.276074469E-4
1.174383387E0,-6.902609020E-4,-1.221410930E-4,-4.276074469E-4
1.184393618E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
1.194320426E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
1.204376272E0,-7.939524949E-5,-1.221410930E-4,7.941238582E-4
1.214324810E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
1.224334118E0,5.314704031E-4,-7.330067456E-4,-4.276074469E-4
1.234355810E0,5.314704031E-4,-1.221410930E-4,-4.276074469E-4
1.244376002E0,-6.902609020E-4,-7.330067456E-4,-1.038472168E-3
1.254372964E0,-6.902609020E-4,-7.330067456E-4,-4.276074469E-4
1.264368349E0,-7.939524949E-5,4.887245595E-4,-4.276074469E-4
1.274380964E0,5.314704031E-4,-1.221410930E-4,1.832582057E-4
1.284383310E0,-7.939524949E-5,-7.330067456E-4,-4.276074469E-4
1.294393349E0,-7.939524949E-5,4.887245595E-4,-1.038472168E-3
1.304389849E0,-7.939524949E-5,4.887245595E-4,1.832582057E-4
1.314319041E0,-6.902609020E-4,-1.221410930E-4,-4.276074469E-4
1.324428502E0,-7.939524949E-5,-7.330067456E-4,-4.276074469E-4
1.334328464E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
1.344368041E0,5.314704031E-4,4.887245595E-4,-4.276074469E-4
1.354398656E0,5.314704031E-4,-1.221410930E-4,1.832582057E-4
1.364330541E0,-7.939524949E-5,4.887245595E-4,-4.276074469E-4
1.374379656E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
1.384393041E0,-6.902609020E-4,-1.343872398E-3,1.832582057E-4
1.394321002E0,-7.939524949E-5,-7.330067456E-4,1.832582057E-4
1.404341349E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
1.414372849E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
1.424376464E0,-6.902609020E-4,-7.330067456E-4,-4.276074469E-4
1.434394810E0,-6.902609020E-4,-1.343872398E-3,-4.276074469E-4
1.444323118E0,5.314704031E-4,4.887245595E-4,-1.038472168E-3
1.454336425E0,-7.939524949E-5,4.887245595E-4,-4.276074469E-4
1.464319733E0,-7.939524949E-5,4.887245595E-4,-4.276074469E-4
1.474330464E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
1.484336964E0,-6.902609020E-4,-1.343872398E-3,-1.038472168E-3
1.494342733E0,-7.939524949E-5,-7.330067456E-4,1.832582057E-4
1.504321656E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
1.514384002E0,-7.939524949E-5,-7.330067456E-4,-4.276074469E-4
1.524442964E0,5.314704031E-4,-1.221410930E-4,-4.276074469E-4
1.534386810E0,5.314704031E-4,-1.221410930E-4,1.832582057E-4
1.544375041E0,-6.902609020E-4,-1.221410930E-4,1.832582057E-4
1.554360118E0,-6.902609020E-4,-1.221410930E-4,-4.276074469E-4
1.564394810E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
1.574332656E0,-7.939524949E-5,-7.330067456E-4,1.832582057E-4
1.584395925E0,-1.301126555E-3,-1.221410930E-4,-4.276074469E-4
1.594440041E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
1.604342579E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
1.614372233E0,-7.939524949E-5,-1.343872398E-3,-4.276074469E-4
1.624328310E0,-7.939524949E-5,-7.330067456E-4,-1.038472168E-3
1.634350887E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
1.644378079E0,-1.301126555E-3,-7.330067456E-4,1.832582057E-4
1.654376233E0,-6.902609020E-4,-1.221410930E-4,1.832582057E-4
1.664363887E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
1.674563156E0,-7.939524949E-5,-7.330067456E-4,-4.276074469E-4
1.684338541E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
1.694368079E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
1.704376618E0,-6.902609020E-4,-1.221410930E-4,-4.276074469E-4
1.714374541E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
1.724333502E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
1.734379002E0,-7.939524949E-5,-7.330067456E-4,-4.276074469E-4
1.744390502E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
1.754348194E0,-7.939524949E-5,-7.330067456E-4,-4.276074469E-4
1.764321964E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
1.774425848E0,-6.902609020E-4,-7.330067456E-4,-4.276074469E-4
1.784343117E0,-6.902609020E-4,-1.343872398E-3,-4.276074469E-4
1.794408541E0,-7.939524949E-5,-7.330067456E-4,-4.276074469E-4
1.804334387E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
1.814370694E0,-6.902609020E-4,-1.221410930E-4,1.832582057E-4
1.824369925E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
1.834364310E0,-6.902609020E-4,-7.330067456E-4,7.941238582E-4
1.844332887E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
1.854376694E0,-6.902609020E-4,-7.330067456E-4,-4.276074469E-4
1.864376925E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
1.874388002E0,-7.939524949E-5,-7.330067456E-4,-4.276074469E-4
1.884326271E0,-6.902609020E-4,-1.221410930E-4,-4.276074469E-4
1.894321771E0,5.314704031E-4,4.887245595E-4,-4.276074469E-4
1.904383887E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
1.914336617E0,-7.939524949E-5,4.887245595E-4,1.832582057E-4
1.924399425E0,-7.939524949E-5,1.099590212E-3,-1.038472168E-3
1.934379656E0,5.314704031E-4,4.887245595E-4,1.832582057E-4
1.944329771E0,-1.301126555E-3,-1.221410930E-4,1.832582057E-4
1.954355310E0,-6.902609020E-4,-7.330067456E-4,-4.276074469E-4
1.964320425E0,-1.301126555E-3,-7.330067456E-4,1.832582057E-4
1.974343694E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
1.984385194E0,-6.902609020E-4,-1.221410930E-4,1.832582057E-4
1.994325002E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
2.004328117E0,-6.902609020E-4,-7.330067456E-4,7.941238582E-4
2.014368002E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
2.024370887E0,5.314704031E-4,-1.221410930E-4,-4.276074469E-4
2.034375463E0,-6.902609020E-4,-1.221410930E-4,1.832582057E-4
2.044388925E0,-6.902609020E-4,-1.221410930E-4,-4.276074469E-4
2.054318040E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
2.064373848E0,5.314704031E-4,-1.221410930E-4,-4.276074469E-4
2.074375463E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
2.084386617E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
2.094402386E0,-6.902609020E-4,-1.221410930E-4,-4.276074469E-4
2.104396079E0,-6.902609020E-4,-1.343872398E-3,-4.276074469E-4
2.114384540E0,-7.939524949E-5,-7.330067456E-4,1.832582057E-4
2.124323733E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
2.134324233E0,5.314704031E-4,-7.330067456E-4,-4.276074469E-4
2.144370425E0,-7.939524949E-5,-7.330067456E-4,1.832582057E-4
2.154343848E0,-7.939524949E-5,-7.330067456E-4,1.832582057E-4
2.164387963E0,5.314704031E-4,-1.221410930E-4,-4.276074469E-4
2.174400463E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
2.184382502E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
2.194350656E0,-7.939524949E-5,-7.330067456E-4,1.832582057E-4
2.204383156E0,5.314704031E-4,-7.330067456E-4,1.832582057E-4
2.214370002E0,-9.772740304E-5,-1.038238406E-4,-9.651686996E-4
2.224368233E0,-9.772740304E-5,-1.038238406E-4,2.565616742E-4
2.234400694E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.244324425E0,5.131382495E-4,-1.038238406E-4,2.565616742E-4
2.254322694E0,-7.085930556E-4,-1.038238406E-4,2.565616742E-4
2.264401656E0,5.131382495E-4,-1.038238406E-4,-3.543039784E-4
2.274329694E0,-9.772740304E-5,-1.038238406E-4,2.565616742E-4
2.284329425E0,-9.772740304E-5,5.070418119E-4,-3.543039784E-4
2.294321656E0,-7.085930556E-4,-1.038238406E-4,2.565616742E-4
2.304327309E0,-9.772740304E-5,-7.146894932E-4,2.565616742E-4
2.314319694E0,-9.772740304E-5,-1.038238406E-4,8.674273267E-4
2.324332194E0,-7.085930556E-4,5.070418119E-4,-3.543039784E-4
2.334322809E0,-7.085930556E-4,-1.038238406E-4,2.565616742E-4
2.344395156E0,-9.772740304E-5,-1.038238406E-4,8.674273267E-4
2.354388309E0,-9.772740304E-5,-1.038238406E-4,2.565616742E-4
2.364332309E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.374340502E0,-9.772740304E-5,-7.146894932E-4,2.565616742E-4
2.384326809E0,-9.772740304E-5,5.070418119E-4,-3.543039784E-4
2.394318963E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.404387732E0,-7.085930556E-4,5.070418119E-4,-3.543039784E-4
2.414337771E0,-9.772740304E-5,-1.038238406E-4,2.565616742E-4
2.424332848E0,-1.319458708E-3,-1.038238406E-4,2.565616742E-4
2.434373963E0,-1.319458708E-3,-1.038238406E-4,2.565616742E-4
2.444325386E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.454341271E0,-9.772740304E-5,5.070418119E-4,-9.651686996E-4
2.464324425E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.474326155E0,-7.085930556E-4,-1.038238406E-4,-3.543039784E-4
2.484359732E0,-7.085930556E-4,5.070418119E-4,-3.543039784E-4
2.494325309E0,-9.772740304E-5,5.070418119E-4,2.565616742E-4
2.504327732E0,-7.085930556E-4,-7.146894932E-4,2.565616742E-4
2.514324155E0,-9.772740304E-5,-7.146894932E-4,2.565616742E-4
2.524386540E0,-9.772740304E-5,-7.146894932E-4,2.565616742E-4
2.534318155E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.544326886E0,-7.085930556E-4,-1.038238406E-4,-3.543039784E-4
2.554410155E0,-7.085930556E-4,5.070418119E-4,8.674273267E-4
2.564331040E0,-7.085930556E-4,-7.146894932E-4,2.565616742E-4
2.574340655E0,-7.085930556E-4,-7.146894932E-4,-3.543039784E-4
2.584323309E0,5.131382495E-4,-1.038238406E-4,-3.543039784E-4
2.594328617E0,-9.772740304E-5,-1.038238406E-4,2.565616742E-4
2.604387617E0,-9.772740304E-5,-1.038238406E-4,2.565616742E-4
2.614325386E0,5.131382495E-4,5.070418119E-4,2.565616742E-4
2.624398194E0,-9.772740304E-5,5.070418119E-4,2.565616742E-4
2.634373078E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.644325963E0,5.131382495E-4,-1.038238406E-4,2.565616742E-4
2.654335194E0,-7.085930556E-4,-1.038238406E-4,8.674273267E-4
2.664327963E0,-7.085930556E-4,-1.038238406E-4,-3.543039784E-4
2.674322463E0,-7.085930556E-4,-1.038238406E-4,-9.651686996E-4
2.684372078E0,-7.085930556E-4,-7.146894932E-4,-3.543039784E-4
2.694370925E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.704324425E0,-7.085930556E-4,-7.146894932E-4,-3.543039784E-4
2.714326732E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.724330386E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.734665463E0,-9.772740304E-5,-1.038238406E-4,-9.651686996E-4
2.744336617E0,-9.772740304E-5,-1.038238406E-4,-9.651686996E-4
2.754492809E0,-7.085930556E-4,-1.038238406E-4,2.565616742E-4
2.764385732E0,-7.085930556E-4,-7.146894932E-4,2.565616742E-4
2.774321732E0,-1.319458708E-3,-7.146894932E-4,-3.543039784E-4
2.784373078E0,-9.772740304E-5,-1.038238406E-4,2.565616742E-4
2.794374232E0,-9.772740304E-5,-1.038238406E-4,2.565616742E-4
2.804399732E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.814337655E0,-7.085930556E-4,-1.038238406E-4,-3.543039784E-4
2.824331924E0,-9.772740304E-5,5.070418119E-4,2.565616742E-4
2.834418386E0,-7.085930556E-4,-1.038238406E-4,-9.651686996E-4
2.844328194E0,-9.772740304E-5,5.070418119E-4,-9.651686996E-4
2.854387886E0,5.131382495E-4,5.070418119E-4,-3.543039784E-4
2.864371040E0,-7.085930556E-4,5.070418119E-4,2.565616742E-4
2.874379617E0,-9.772740304E-5,5.070418119E-4,2.565616742E-4
2.884544117E0,-7.085930556E-4,-1.038238406E-4,-3.543039784E-4
2.894340078E0,-9.772740304E-5,-7.146894932E-4,2.565616742E-4
2.904327078E0,-7.085930556E-4,5.070418119E-4,-3.543039784E-4
2.914358078E0,-1.319458708E-3,-7.146894932E-4,-9.651686996E-4
2.924336540E0,-1.319458708E-3,-7.146894932E-4,2.565616742E-4
2.934369732E0,-9.772740304E-5,-1.325555146E-3,2.565616742E-4
2.944349271E0,-9.772740304E-5,-1.038238406E-4,2.565616742E-4
2.954357924E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
2.964308578E0,5.131382495E-4,5.070418119E-4,2.565616742E-4
2.974332001E0,5.131382495E-4,-1.038238406E-4,2.565616742E-4
2.984341963E0,-7.085930556E-4,-1.038238406E-4,-3.543039784E-4
2.994343540E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
3.004306001E0,-7.085930556E-4,-1.038238406E-4,2.565616742E-4
3.014341040E0,-7.085930556E-4,-1.038238406E-4,-3.543039784E-4
3.024299270E0,-9.772740304E-5,5.070418119E-4,-3.543039784E-4
3.034340309E0,5.131382495E-4,-7.146894932E-4,2.565616742E-4
3.044302694E0,-7.085930556E-4,-7.146894932E-4,2.565616742E-4
3.054335463E0,-9.772740304E-5,-7.146894932E-4,-3.543039784E-4
3.064335963E0,-7.085930556E-4,-1.038238406E-4,2.565616742E-4
3.074334847E0,5.131382495E-4,5.070418119E-4,8.674273267E-4
3.084335963E0,-9.772740304E-5,-7.146894932E-4,-3.543039784E-4
3.094303309E0,-7.085930556E-4,-1.038238406E-4,-3.543039784E-4
3.104374424E0,-1.319458708E-3,5.070418119E-4,-3.543039784E-4
3.114361347E0,-7.085930556E-4,5.070418119E-4,2.565616742E-4
3.124317924E0,-1.319458708E-3,-1.038238406E-4,2.565616742E-4
3.134368847E0,-7.085930556E-4,-7.146894932E-4,2.565616742E-4
3.144371655E0,-7.085930556E-4,-7.146894932E-4,2.565616742E-4
3.154327732E0,-7.085930556E-4,-7.146894932E-4,2.565616742E-4
3.164363116E0,-9.772740304E-5,-1.038238406E-4,2.565616742E-4
3.174382116E0,-9.772740304E-5,-1.038238406E-4,-3.543039784E-4
3.184320770E0,-9.772740304E-5,-7.146894932E-4,-3.543039784E-4
3.194326578E0,-7.085930556E-4,-1.038238406E-4,-3.543039784E-4
