"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,9.784221649E-3,3.165423870E-3,9.934711456E-2
3.837111700E-2,2.601623535E-3,5.559623241E-3,9.815025330E-2
6.250607900E-2,3.798723221E-3,9.150922298E-3,1.077270508E-1
7.957579100E-2,2.683103085E-3,5.644023418E-3,1.011533737E-1
9.311564700E-2,-3.302425146E-3,2.052724361E-3,8.678817749E-2
1.049010170E-1,-9.082257748E-4,2.052724361E-3,9.636497498E-2
1.157864910E-1,3.880202770E-3,-3.414750099E-4,1.047449112E-1
1.262341890E-1,2.516895533E-3,6.016135216E-3,9.945106506E-2
1.364569420E-1,6.108194590E-3,4.819035530E-3,9.466266632E-2
1.465685110E-1,6.108194590E-3,6.016135216E-3,8.987426758E-2
1.566238340E-1,7.305294275E-3,1.227736473E-3,8.747959137E-2
1.666550910E-1,2.604305744E-3,6.371319294E-3,1.117305756E-1
1.766708160E-1,-4.578292370E-3,7.568418980E-3,1.117305756E-1
1.866751020E-1,-4.578292370E-3,5.174219608E-3,7.940959930E-2
1.966786490E-1,2.385318279E-3,5.146086216E-3,8.817481995E-2
2.066814220E-1,1.862645149E-3,4.689157009E-3,8.496093750E-2
2.166838280E-1,2.697229385E-3,5.180835724E-3,9.127902985E-2
2.266845500E-1,3.030300140E-4,8.772134781E-3,9.965896606E-2
2.366855070E-1,2.693295479E-3,6.265521049E-3,1.101818085E-1
2.466841970E-1,1.496165991E-3,1.477122307E-3,7.785987854E-2
2.566846960E-1,2.475589514E-3,5.186617374E-3,9.049606323E-2
2.666829260E-1,3.161400557E-3,6.376326084E-3,1.102313995E-1
2.766830410E-1,2.730697393E-3,5.883634090E-3,1.033105850E-1
2.866827720E-1,-3.254801035E-3,-2.496063709E-3,9.373378754E-2
2.966827910E-1,1.111039519E-2,1.067203283E-2,1.021127701E-1
3.066848580E-1,3.364980221E-4,5.883634090E-3,1.021127701E-1
3.166814110E-1,8.716195822E-3,4.686534405E-3,9.732437134E-2
3.266788800E-1,-2.057701349E-3,9.474933147E-3,1.176757812E-1
3.366807300E-1,6.321996450E-3,7.080733776E-3,9.493064880E-2
3.466812320E-1,-5.649000406E-3,8.277833462E-3,9.373378754E-2
3.566846170E-1,-2.057701349E-3,2.292335033E-3,9.612751007E-2
3.666838100E-1,2.895802259E-3,6.318330765E-3,1.121721268E-1
3.766834450E-1,2.751886845E-3,5.838692188E-3,1.032447815E-1
3.866856470E-1,-2.036511898E-3,1.062709093E-2,9.486484528E-2
3.966852860E-1,-4.430711269E-3,2.247393131E-3,1.044416428E-1
4.066845870E-1,5.146086216E-3,1.302129030E-2,9.845638275E-2
4.166616600E-1,-3.233611584E-3,8.232891560E-3,1.008501053E-1
4.266917540E-1,3.948986530E-3,1.062709093E-2,1.068353653E-1
4.366646090E-1,1.554787159E-3,3.444492817E-3,7.451438904E-2
4.466551330E-1,8.737385273E-3,1.062709093E-2,9.247016907E-2
4.567322020E-1,5.146086216E-3,7.035791874E-3,1.104269028E-1
4.667046790E-1,5.146086216E-3,-2.541005611E-3,8.528804779E-2
4.766733020E-1,6.343185902E-3,1.062709093E-2,1.056385040E-1
4.866533640E-1,-5.627810955E-3,5.838692188E-3,9.486484528E-2
4.966434720E-1,2.727508545E-3,5.045115948E-3,9.140777588E-2
5.066520260E-1,2.845525742E-3,7.065594196E-3,1.187725067E-1
5.166799760E-1,-3.139972687E-3,3.474295139E-3,1.056041718E-1
5.267095470E-1,-1.942873001E-3,2.277195454E-3,8.764743805E-2
5.366781020E-1,7.633924484E-3,7.065594196E-3,9.722423553E-2
5.466760330E-1,2.904534340E-3,5.984723568E-3,1.055889130E-1
5.566680370E-1,2.973258495E-3,5.866706371E-3,1.044178009E-1
5.666613850E-1,2.994358540E-3,6.169915199E-3,1.100330353E-1
5.781425780E-1,1.017695665E-2,6.169915199E-3,8.728790283E-2
5.874041560E-1,5.388557911E-3,6.169915199E-3,8.249950409E-2
5.970276750E-1,3.360658884E-3,6.849110126E-3,1.179075241E-1
6.068803580E-1,-3.821939230E-3,5.652010441E-3,1.035423279E-1
6.167566610E-1,-3.821939230E-3,4.454910755E-3,8.319091797E-2
6.266941590E-1,-2.624839544E-3,-1.530587673E-3,1.083307266E-1
6.366810420E-1,-5.019038916E-3,2.060711384E-3,9.516239166E-2
6.466606570E-1,2.848654985E-3,5.968511105E-3,1.038341522E-1
6.566563100E-1,3.016114235E-3,6.545186043E-3,1.115713120E-1
6.666474450E-1,1.259294152E-2,6.545186043E-3,1.091775894E-1
6.766414160E-1,3.016114235E-3,6.545186043E-3,7.685565948E-2
6.866383050E-1,5.410313606E-3,-6.374120712E-4,8.882713318E-2
6.966380000E-1,-1.772284508E-3,1.013648510E-2,1.043891907E-1
7.066449630E-1,3.039270639E-3,6.073236465E-3,1.079463959E-1
7.166521940E-1,-4.143387079E-3,6.073057652E-3,1.139316559E-1
7.266552520E-1,-1.749128103E-3,4.876136780E-3,1.127347946E-1
7.366531460E-1,-5.520880222E-4,-2.306640148E-3,1.079463959E-1
7.466578630E-1,3.039270639E-3,8.467435837E-3,8.759498596E-2
7.567906830E-1,7.827609777E-3,4.875957966E-3,1.043548584E-1
7.667141890E-1,4.236370325E-3,1.086163521E-2,1.079463959E-1
7.766830190E-1,6.450116634E-4,1.284658909E-3,8.400440216E-2
7.866676840E-1,6.630569696E-3,8.773803711E-5,1.067485809E-1
7.966572280E-1,2.475768328E-3,4.685997963E-3,7.875442505E-2
8.066589230E-1,8.162856102E-5,3.489077091E-3,1.038942337E-1
8.166576550E-1,2.985864878E-3,6.436645985E-3,1.126327515E-1
8.266494250E-1,2.472937107E-3,5.216836929E-3,9.217834473E-2
8.366685600E-1,7.873773575E-5,1.000523567E-2,1.125297546E-1
8.466541660E-1,-1.118361950E-3,6.413936615E-3,9.816455841E-2
8.566624110E-1,2.572774887E-3,5.255758762E-3,8.570098877E-2
8.666605530E-1,-1.018524170E-3,6.452858448E-3,1.120367050E-1
8.766924890E-1,2.737879753E-3,5.664706230E-3,1.030540466E-1
8.866905730E-1,-8.534193039E-4,1.165020466E-2,9.227943420E-2
8.966698260E-1,7.526278496E-3,5.664706230E-3,1.269960403E-1
9.066633760E-1,6.329178810E-3,3.270506859E-3,9.826564789E-2
9.166518040E-1,2.190768719E-3,4.387974739E-3,7.975101471E-2
9.266592490E-1,9.936690331E-4,3.190875053E-3,1.120719910E-1
9.366586640E-1,9.936690331E-4,-4.004240036E-4,1.060867310E-1
9.466628720E-1,2.661675215E-3,5.515396595E-3,9.474372864E-2
9.566632640E-1,3.128707409E-3,6.305217743E-3,1.154088974E-1
9.666827870E-1,2.792716026E-3,5.865633488E-3,1.047344208E-1
9.767069330E-1,3.989845514E-3,5.865633488E-3,9.994602203E-2
9.866811410E-1,2.584934235E-3,5.916178226E-3,1.007194519E-1
9.967005520E-1,7.373332977E-3,9.507477283E-3,1.031141281E-1
1.006685354E0,2.584934235E-3,7.113277912E-3,1.090993881E-1
1.016671082E0,9.767532349E-3,-6.932020187E-5,9.593105316E-2
1.026662946E0,8.570432663E-3,1.070457697E-2,8.994579315E-2
1.036653974E0,-4.597693682E-3,1.429587603E-2,1.102962494E-1
1.046649392E0,1.096463203E-2,1.309877634E-2,1.102962494E-1
1.056698543E0,2.584934235E-3,7.113277912E-3,1.031141281E-1
1.066854330E0,1.335883141E-2,1.070457697E-2,1.090993881E-1
1.076761281E0,1.387834549E-3,-6.932020187E-5,1.186761856E-1
1.086708545E0,1.907348633E-4,1.309877634E-2,1.055078506E-1
1.096689754E0,3.782033920E-3,1.070457697E-2,1.102962494E-1
1.106678917E0,4.979133606E-3,9.507477283E-3,1.150846481E-1
1.116667094E0,1.387834549E-3,-6.932020187E-5,1.043109894E-1
1.126658375E0,1.387834549E-3,7.113277912E-3,9.233951569E-2
1.136679804E0,9.767532349E-3,5.916178226E-3,1.126909256E-1
1.146701076E0,4.979133606E-3,1.127779484E-3,1.210699081E-1
1.156680039E0,1.387834549E-3,3.521978855E-3,1.031141281E-1
1.166665617E0,4.979133606E-3,7.113277912E-3,9.353733063E-2
1.176667194E0,-4.597693682E-3,9.507477283E-3,9.353733063E-2
1.186659694E0,-1.006364822E-3,9.507477283E-3,1.055078506E-1
1.196669117E0,2.584934235E-3,4.719078541E-3,1.079025269E-1
1.206670502E0,1.455593109E-2,1.070457697E-2,1.007194519E-1
1.216663829E0,4.979133606E-3,1.190167665E-2,1.007194519E-1
1.226662204E0,-2.203464508E-3,1.190167665E-2,1.138877869E-1
1.236655584E0,1.096463203E-2,7.113277912E-3,1.114931107E-1
1.246651408E0,3.782033920E-3,7.113277912E-3,1.102962494E-1
1.256694205E0,2.584934235E-3,4.719078541E-3,1.007194519E-1
1.266675623E0,1.216173172E-2,8.310377598E-3,9.712791443E-2
1.276696678E0,1.096463203E-2,1.190167665E-2,1.090993881E-1
1.286702455E0,3.782033920E-3,1.669007540E-2,1.114931107E-1
1.296681113E0,9.767532349E-3,7.113277912E-3,1.055078506E-1
1.306671231E0,1.387834549E-3,7.113277912E-3,8.874893188E-2
1.316660732E0,-5.794793367E-3,1.190167665E-2,1.043109894E-1
1.326657944E0,4.979133606E-3,1.908427477E-2,1.079025269E-1
1.336680319E0,1.455593109E-2,1.669007540E-2,1.174793243E-1
1.346667295E0,-1.006364822E-3,1.190167665E-2,1.114931107E-1
1.356674572E0,-6.991893053E-3,8.310377598E-3,8.156585693E-2
1.366664902E0,2.584934235E-3,1.190167665E-2,1.031141281E-1
1.376667125E0,1.387834549E-3,1.669007540E-2,1.150846481E-1
1.386660544E0,3.782033920E-3,-1.266419888E-3,1.031141281E-1
1.396664638E0,-3.400564194E-3,1.070457697E-2,1.031141281E-1
1.406663243E0,4.979133606E-3,5.916178226E-3,8.874893188E-2
1.416680699E0,2.584934235E-3,7.113277912E-3,8.396053314E-2
1.426701466E0,3.782033920E-3,1.309877634E-2,1.234645844E-1
1.436683349E0,8.570432663E-3,-3.660619259E-3,1.019163132E-1
1.446680906E0,4.979133606E-3,7.113277912E-3,9.114265442E-2
1.456671339E0,1.907348633E-4,1.309877634E-2,9.473419189E-2
1.466667363E0,-2.203464508E-3,4.719078541E-3,1.150846481E-1
1.476666413E0,-5.794793367E-3,9.507477283E-3,1.043109894E-1
1.486660169E0,-6.991893053E-3,5.916178226E-3,1.007194519E-1
1.496658489E0,-9.386092424E-3,4.719078541E-3,8.396053314E-2
1.506658265E0,1.907348633E-4,4.719078541E-3,8.994579315E-2
1.516685153E0,1.907348633E-4,8.310377598E-3,1.043109894E-1
1.526700250E0,-2.203464508E-3,4.719078541E-3,1.174793243E-1
1.536704587E0,6.176233292E-3,8.310377598E-3,1.114931107E-1
1.546720737E0,8.570432663E-3,2.324879169E-3,1.007194519E-1
1.556742196E0,4.979133606E-3,4.719078541E-3,1.007194519E-1
1.566698849E0,7.373332977E-3,4.719078541E-3,1.067047119E-1
1.576682560E0,1.387834549E-3,1.669007540E-2,1.102962494E-1
1.586667781E0,1.907348633E-4,1.127779484E-3,1.067047119E-1
1.596676564E0,-5.794793367E-3,1.070457697E-2,9.952259064E-2
1.606667302E0,-1.058319211E-2,5.916178226E-3,1.055078506E-1
1.616662460E0,-3.400564194E-3,1.669007540E-2,1.043109894E-1
1.626694712E0,-5.794793367E-3,9.507477283E-3,1.198730469E-1
1.636704684E0,-1.058319211E-2,9.507477283E-3,1.079025269E-1
1.646685362E0,-3.400564194E-3,7.113277912E-3,9.473419189E-2
1.656675682E0,1.907348633E-4,1.127779484E-3,8.755111694E-2
1.666667265E0,1.096463203E-2,1.549297571E-2,1.019163132E-1
1.676665941E0,1.216173172E-2,1.190167665E-2,1.031141281E-1
1.686656471E0,1.695013046E-2,2.324879169E-3,9.114265442E-2
1.696659506E0,9.767532349E-3,8.310377598E-3,1.090993881E-1
1.706652542E0,1.387834549E-3,7.113277912E-3,9.114265442E-2
1.716663618E0,8.570432663E-3,1.429587603E-2,1.150846481E-1
1.726664175E0,-1.006364822E-3,1.549297571E-2,1.138877869E-1
1.736661204E0,-1.006364822E-3,3.521978855E-3,1.114931107E-1
1.746662218E0,1.387834549E-3,3.521978855E-3,1.126909256E-1
1.756660379E0,-8.188992739E-3,7.113277912E-3,1.031141281E-1
1.766654902E0,2.584934235E-3,1.788717508E-2,9.353733063E-2
1.776667894E0,-3.400564194E-3,1.309877634E-2,1.067047119E-1
1.786669255E0,9.767532349E-3,8.310377598E-3,1.067047119E-1
1.796694282E0,1.907348633E-4,3.521978855E-3,1.055078506E-1
1.806674930E0,3.782033920E-3,3.521978855E-3,1.079025269E-1
1.816693773E0,-1.006364822E-3,7.113277912E-3,9.473419189E-2
1.826710983E0,2.584934235E-3,9.507477283E-3,1.007194519E-1
1.836687608E0,8.570432663E-3,8.310377598E-3,1.055078506E-1
1.846670786E0,1.387834549E-3,1.070457697E-2,1.102962494E-1
1.856660605E0,-6.991893053E-3,7.113277912E-3,1.055078506E-1
1.866662688E0,-2.203464508E-3,1.190167665E-2,9.832572937E-2
1.876675595E0,-4.597693682E-3,1.070457697E-2,9.233951569E-2
1.886663067E0,1.216173172E-2,1.309877634E-2,1.019163132E-1
1.896657419E0,-1.006364822E-3,9.507477283E-3,1.055078506E-1
1.906727633E0,-2.203464508E-3,7.113277912E-3,1.079025269E-1
1.916692606E0,2.584934235E-3,1.070457697E-2,1.090993881E-1
1.926678592E0,3.782033920E-3,5.916178226E-3,1.102962494E-1
1.936696412E0,6.176233292E-3,3.521978855E-3,8.755111694E-2
1.946672995E0,8.570432663E-3,8.310377598E-3,9.712791443E-2
1.956666383E0,1.907348633E-4,1.127779484E-3,1.067047119E-1
1.966677442E0,2.584934235E-3,1.127779484E-3,1.019163132E-1
1.976672741E0,4.979133606E-3,7.113277912E-3,8.755111694E-2
1.986665487E0,1.387834549E-3,9.507477283E-3,1.067047119E-1
1.996659033E0,-3.400564194E-3,2.324879169E-3,1.102962494E-1
2.006664556E0,2.584934235E-3,5.916178226E-3,1.019163132E-1
2.016658144E0,-1.006364822E-3,1.190167665E-2,1.126909256E-1
2.026691438E0,-1.006364822E-3,7.113277912E-3,9.712791443E-2
2.036672085E0,-1.006364822E-3,7.113277912E-3,9.593105316E-2
2.046664274E0,9.767532349E-3,5.916178226E-3,1.007194519E-1
2.056682561E0,7.373332977E-3,1.669007540E-2,1.007194519E-1
2.066691108E0,3.782033920E-3,7.113277912E-3,1.150846481E-1
2.076673574E0,3.782033920E-3,1.190167665E-2,8.874893188E-2
2.086689230E0,-3.400564194E-3,1.070457697E-2,9.593105316E-2
2.096683327E0,2.584934235E-3,1.190167665E-2,9.233951569E-2
2.106739010E0,3.782033920E-3,7.113277912E-3,1.055078506E-1
2.116707102E0,7.373332977E-3,4.719078541E-3,1.090993881E-1
2.126715148E0,1.387834549E-3,7.113277912E-3,1.234645844E-1
2.136708479E0,7.373332977E-3,5.916178226E-3,9.353733063E-2
2.146682086E0,-3.400564194E-3,1.127779484E-3,9.593105316E-2
2.156674005E0,3.782033920E-3,1.309877634E-2,1.019163132E-1
2.166697080E0,7.373332977E-3,8.310377598E-3,1.007194519E-1
2.176681291E0,1.387834549E-3,1.127779484E-3,1.055078506E-1
2.186675531E0,8.570432663E-3,3.521978855E-3,9.233951569E-2
2.196662824E0,3.782033920E-3,3.521978855E-3,1.090993881E-1
2.206720316E0,1.907348633E-4,7.113277912E-3,9.353733063E-2
2.216711986E0,1.096463203E-2,1.190167665E-2,9.952259064E-2
2.226719494E0,-4.597693682E-3,5.916178226E-3,1.102962494E-1
2.236697151E0,8.570432663E-3,8.310377598E-3,1.079025269E-1
2.246678903E0,2.584934235E-3,3.521978855E-3,9.353733063E-2
2.256691318E0,6.176233292E-3,1.669007540E-2,1.079025269E-1
2.266704717E0,-3.400564194E-3,1.429587603E-2,1.043109894E-1
2.276687609E0,2.584934235E-3,1.429587603E-2,1.007194519E-1
2.286670286E0,2.584934235E-3,1.309877634E-2,1.031141281E-1
2.296660605E0,6.176233292E-3,8.310377598E-3,1.079025269E-1
2.306657322E0,2.584934235E-3,4.719078541E-3,1.055078506E-1
2.316662546E0,3.782033920E-3,4.719078541E-3,9.832572937E-2
2.326695677E0,-2.203464508E-3,9.507477283E-3,1.067047119E-1
2.336675339E0,2.584934235E-3,1.190167665E-2,1.043109894E-1
2.346672689E0,-3.400564194E-3,1.309877634E-2,9.952259064E-2
2.356666441E0,7.373332977E-3,5.916178226E-3,9.832572937E-2
2.366668336E0,1.387834549E-3,8.310377598E-3,1.019163132E-1
2.376674534E0,1.216173172E-2,5.916178226E-3,9.353733063E-2
2.386665575E0,7.373332977E-3,1.309877634E-2,1.150846481E-1
2.396690269E0,8.570432663E-3,7.113277912E-3,1.055078506E-1
2.406673289E0,4.979133606E-3,9.507477283E-3,1.019163132E-1
2.416699703E0,-5.794793367E-3,3.521978855E-3,9.712791443E-2
2.426692621E0,1.907348633E-4,3.521978855E-3,1.114931107E-1
2.436672330E0,-2.203464508E-3,9.507477283E-3,1.102962494E-1
2.446667069E0,-2.203464508E-3,3.521978855E-3,1.007194519E-1
2.456665516E0,-1.006364822E-3,8.310377598E-3,1.126909256E-1
2.466722643E0,3.782033920E-3,3.521978855E-3,1.079025269E-1
2.476699495E0,-6.991893053E-3,8.310377598E-3,1.043109894E-1
2.486677075E0,6.176233292E-3,3.521978855E-3,9.952259064E-2
2.496663307E0,4.979133606E-3,2.147847414E-2,1.055078506E-1
2.506657673E0,7.373332977E-3,1.429587603E-2,1.031141281E-1
2.516654299E0,3.782033920E-3,4.719078541E-3,9.832572937E-2
2.526657477E0,1.216173172E-2,4.719078541E-3,8.994579315E-2
2.536656104E0,9.767532349E-3,9.507477283E-3,1.090993881E-1
2.546658745E0,1.387834549E-3,9.507477283E-3,1.067047119E-1
2.556656892E0,4.979133606E-3,1.309877634E-2,1.019163132E-1
2.566656081E0,1.096463203E-2,3.521978855E-3,9.832572937E-2
2.576668118E0,2.584934235E-3,-6.932020187E-5,1.019163132E-1
2.586662963E0,9.767532349E-3,3.521978855E-3,9.233951569E-2
2.596663213E0,1.907348633E-4,4.719078541E-3,1.079025269E-1
2.606708069E0,1.387834549E-3,1.070457697E-2,1.031141281E-1
2.616684150E0,2.584934235E-3,9.507477283E-3,9.233951569E-2
2.626675672E0,1.907348633E-4,8.310377598E-3,9.952259064E-2
2.636668606E0,1.387834549E-3,1.429587603E-2,1.138877869E-1
2.646669611E0,8.570432663E-3,1.309877634E-2,9.712791443E-2
2.656661460E0,7.373332977E-3,4.719078541E-3,1.090993881E-1
2.666684192E0,2.584934235E-3,1.070457697E-2,1.055078506E-1
2.676684308E0,6.176233292E-3,3.521978855E-3,9.593105316E-2
2.686776347E0,7.373332977E-3,1.309877634E-2,9.114265442E-2
2.696712328E0,4.979133606E-3,4.719078541E-3,1.186761856E-1
2.706681838E0,4.979133606E-3,2.324879169E-3,1.102962494E-1
2.716675689E0,-1.006364822E-3,-2.463519573E-3,9.832572937E-2
2.726747499E0,1.387834549E-3,1.549297571E-2,9.353733063E-2
2.736699000E0,6.176233292E-3,1.549297571E-2,8.874893188E-2
2.746685135E0,1.096463203E-2,1.309877634E-2,1.126909256E-1
2.756670760E0,-4.597693682E-3,2.324879169E-3,1.031141281E-1
2.766666630E0,1.907348633E-4,1.070457697E-2,8.396053314E-2
2.776667623E0,6.176233292E-3,4.719078541E-3,8.755111694E-2
2.786686312E0,1.934432983E-2,8.310377598E-3,1.150846481E-1
2.796672060E0,1.387834549E-3,1.429587603E-2,1.031141281E-1
2.806663723E0,-2.203464508E-3,4.719078541E-3,9.353733063E-2
2.816671227E0,1.387834549E-3,4.719078541E-3,1.031141281E-1
2.826707249E0,6.176233292E-3,-2.463519573E-3,9.952259064E-2
2.836687875E0,1.216173172E-2,9.507477283E-3,9.114265442E-2
2.846704323E0,1.335883141E-2,5.916178226E-3,9.712791443E-2
2.856675777E0,2.584934235E-3,9.507477283E-3,9.114265442E-2
2.866695427E0,4.979133606E-3,1.127779484E-3,1.043109894E-1
2.876718829E0,-1.006364822E-3,7.113277912E-3,1.150846481E-1
2.886698473E0,8.570432663E-3,8.310377598E-3,1.019163132E-1
2.896710602E0,6.176233292E-3,1.908427477E-2,9.233951569E-2
2.906684821E0,1.096463203E-2,8.310377598E-3,1.019163132E-1
2.916714257E0,-3.400564194E-3,2.324879169E-3,9.233951569E-2
2.926676456E0,2.584934235E-3,7.113277912E-3,9.593105316E-2
2.936657382E0,-1.006364822E-3,1.070457697E-2,9.712791443E-2
2.946646999E0,3.782033920E-3,8.310377598E-3,8.994579315E-2
2.956640346E0,4.979133606E-3,7.113277912E-3,1.114931107E-1
2.966638654E0,-1.006364822E-3,8.310377598E-3,9.832572937E-2
2.976661962E0,7.373332977E-3,4.719078541E-3,9.832572937E-2
2.986672058E0,1.096463203E-2,1.070457697E-2,1.055078506E-1
2.996674626E0,-3.400564194E-3,1.127779484E-3,1.055078506E-1
3.006670160E0,1.387834549E-3,9.507477283E-3,9.114265442E-2
3.016649715E0,-4.597693682E-3,8.310377598E-3,9.353733063E-2
3.026648262E0,8.570432663E-3,1.788717508E-2,1.150846481E-1
3.036642112E0,-1.006364822E-3,1.127779484E-3,9.233951569E-2
3.046634056E0,-1.006364822E-3,8.310377598E-3,1.019163132E-1
3.056631778E0,-1.006364822E-3,1.549297571E-2,9.712791443E-2
3.066649985E0,4.979133606E-3,1.070457697E-2,9.712791443E-2
3.076669358E0,4.979133606E-3,9.507477283E-3,1.114931107E-1
3.086652391E0,1.387834549E-3,-6.932020187E-5,9.712791443E-2
3.096644830E0,4.979133606E-3,8.310377598E-3,9.233951569E-2
3.106645281E0,8.570432663E-3,9.507477283E-3,1.090993881E-1
3.116677487E0,1.387834549E-3,1.549297571E-2,1.067047119E-1
3.126670436E0,1.335883141E-2,1.549297571E-2,1.031141281E-1
3.136656334E0,4.979133606E-3,9.507477283E-3,1.019163132E-1
3.146680167E0,-3.400564194E-3,5.916178226E-3,8.994579315E-2
3.156686891E0,-6.991893053E-3,7.113277912E-3,1.055078506E-1
